driverId,week,hours-logged,miles-logged
99,43,80,700
48,41,52,500
86,11,53,500
95,49,62,3000
88,35,78,1500
81,6,59,200
96,44,52,1600
87,27,68,1400
64,21,79,2600
81,43,71,2300
68,4,70,100
83,24,56,3100
104,48,59,3200
21,6,53,2800
82,6,65,3200
42,25,57,1800
68,27,63,2500
92,41,72,1400
38,20,76,2900
13,22,67,1100
10,1,53,400
51,43,52,1600
17,48,54,800
71,23,64,3600
87,36,79,700
59,49,59,2600
72,12,62,200
96,3,71,2700
37,17,68,1000
12,37,78,200
92,10,71,3900
70,15,80,1400
24,24,53,3000
65,2,63,3300
81,38,69,1100
67,3,59,3900
75,36,76,2100
102,42,69,3400
43,3,68,500
104,19,67,2100
90,8,72,1700
97,16,59,300
90,47,74,700
66,16,65,1800
62,39,59,3900
75,24,78,3700
42,16,56,1500
15,30,65,2000
76,19,64,100
69,40,74,3500
57,43,67,3800
87,11,60,400
33,38,75,3400
79,51,70,3100
12,39,65,1700
68,36,55,3400
39,8,79,1500
86,45,65,300
79,37,71,1900
10,50,54,0
36,48,65,3400
62,19,77,0
50,17,56,1700
23,49,63,800
73,51,69,2800
50,44,63,1700
59,40,54,100
82,43,68,2100
52,10,61,100
51,24,67,1100
33,15,67,3300
93,26,51,3000
24,9,70,100
49,32,77,2600
37,33,52,2100
90,25,59,1600
80,50,78,1500
70,51,57,2600
87,47,64,1500
91,39,59,1700
97,41,52,3400
87,17,76,2800
23,5,69,3600
75,29,52,2400
39,26,79,700
58,8,53,2400
83,25,50,1700
13,23,80,3600
64,7,55,1600
61,21,58,2900
41,34,57,1800
26,9,52,1900
70,50,80,500
50,50,73,4000
99,11,62,100
35,45,53,800
72,4,73,2300
63,16,67,3400
38,48,55,1600
78,42,66,600
107,41,63,1200
32,51,54,2700
11,49,62,1700
13,13,55,3400
36,12,74,1500
79,31,66,2200
58,35,69,3200
14,6,54,1700
79,26,77,500
88,52,80,600
79,38,62,3700
14,13,52,3000
34,2,80,2500
68,28,79,3300
47,27,54,3000
26,19,79,600
41,34,66,2300
98,22,55,1600
102,52,80,3800
13,3,79,3000
85,2,53,400
109,6,77,1100
47,45,79,1500
33,47,69,500
90,21,61,1700
66,22,51,1900
69,29,77,800
30,43,57,3800
91,2,58,2800
32,28,59,1700
22,10,54,600
65,48,72,2100
74,23,75,1700
32,30,73,4000
104,2,76,2000
63,43,77,3300
21,7,71,2000
73,12,68,2800
14,33,68,1500
53,50,74,3600
47,31,60,1400
67,7,70,2900
67,28,74,300
78,16,55,2400
50,42,72,200
22,20,78,3700
20,3,72,2600
67,23,51,1700
99,19,64,1200
71,50,69,1300
49,11,50,3900
70,13,68,1200
80,25,55,700
52,39,70,200
40,17,70,3500
38,13,77,2600
99,43,51,3000
77,40,61,3900
39,15,50,3900
11,35,63,3500
78,14,76,4000
78,33,53,2100
62,27,55,2800
99,28,79,2400
10,31,69,400
104,9,66,100
46,13,75,1100
109,21,60,1400
48,35,51,400
43,7,79,3700
37,47,71,3400
36,14,52,900
37,32,72,1500
24,20,56,3000
73,52,57,500
32,28,76,700
29,1,61,900
70,21,74,1000
73,2,61,800
77,52,67,600
30,49,74,2600
21,6,66,1700
63,11,67,600
59,31,60,3800
23,21,65,3100
13,1,57,1500
51,13,76,3300
48,24,73,900
96,14,80,900
37,46,57,500
58,33,54,900
31,7,58,2600
82,16,51,3600
63,5,67,2000
76,35,77,2000
52,20,51,2300
85,10,52,0
36,16,80,1300
97,5,60,1500
31,15,55,200
59,45,50,100
20,13,80,2400
64,31,52,3400
98,29,56,0
31,48,63,600
78,3,50,1500
35,18,69,2800
51,49,64,400
25,28,63,800
86,15,60,1600
108,48,64,1800
76,22,69,3600
38,49,51,800
61,52,68,2100
27,23,67,2700
75,29,76,2600
103,45,75,2200
45,9,70,2200
24,48,52,4000
82,42,50,2800
48,23,62,1100
15,16,69,2500
59,30,77,1600
40,2,50,3200
55,20,76,1400
12,32,66,3900
26,28,60,2400
29,4,52,1500
88,15,76,2700
109,7,69,400
57,25,63,3700
93,51,52,4000
19,16,61,2200
50,47,51,2000
83,40,62,700
71,43,57,1500
37,14,77,3200
48,44,63,300
22,37,70,2200
65,11,62,1300
14,6,71,1900
20,34,79,1400
34,1,58,1800
48,17,59,700
54,2,65,200
71,28,60,3300
22,35,60,3900
72,7,54,100
73,38,58,800
19,41,59,500
89,26,78,3000
62,8,69,1200
105,29,68,2200
95,52,56,3300
67,2,75,4000
92,36,80,3300
85,25,74,3000
79,28,62,2200
16,20,59,3900
41,9,56,500
52,2,75,2900
60,18,63,3200
78,28,61,1400
17,21,56,3600
31,3,70,3200
67,32,65,2900
17,13,77,2300
74,37,62,900
72,34,59,1700
79,50,71,3100
61,29,72,1900
93,36,64,1600
103,6,62,900
108,13,72,2200
63,20,72,800
58,10,58,1500
33,35,75,2700
74,34,80,2300
106,14,74,1800
15,45,57,2000
99,20,73,2700
18,26,65,2800
20,51,52,2600
86,31,77,1100
39,37,80,2100
88,15,74,3500
88,46,73,3700
68,36,79,2800
64,8,70,3200
67,46,63,2400
51,28,52,2100
37,3,73,3900
89,16,64,2200
90,35,73,100
92,25,67,4000
91,41,66,1600
93,37,68,3100
84,9,51,2200
93,5,76,1600
34,24,69,1900
23,17,76,1400
92,14,68,1800
65,41,74,1400
71,36,75,4000
99,37,55,2100
66,13,68,700
18,20,73,3600
47,3,63,1200
78,29,74,4000
58,15,66,3700
63,37,61,3300
94,3,50,300
97,46,51,600
104,27,75,700
92,46,66,1500
52,5,53,3900
82,37,78,2300
70,19,75,2500
29,10,57,2400
22,49,58,1500
36,12,57,1600
59,17,50,2200
64,18,59,3300
10,13,78,2300
83,30,78,3800
55,27,59,0
74,14,61,2500
36,4,53,1000
11,16,72,100
15,20,59,2900
95,35,79,2600
15,14,68,600
109,35,50,1800
87,11,58,2000
26,21,57,2800
12,44,67,3300
69,6,68,3700
31,39,55,800
18,9,53,1800
89,49,77,3000
22,42,64,1300
52,23,69,0
42,37,59,500
106,40,53,0
24,15,76,3100
109,22,68,1600
24,22,80,3200
37,12,63,2500
27,42,66,2300
77,17,74,600
94,52,53,1900
28,48,56,3600
76,11,63,2700
52,47,51,2600
101,39,72,3200
106,13,63,3900
16,12,78,1900
62,4,65,1200
94,46,50,3900
69,36,61,3500
24,39,80,2600
39,44,61,2900
88,24,80,1600
105,37,80,500
46,12,79,1100
49,47,55,0
76,5,56,800
89,9,55,1400
78,32,66,4000
23,23,51,2500
30,19,60,600
74,30,66,1400
19,49,60,3800
63,43,57,3500
101,20,54,2700
73,10,77,2200
98,7,58,3300
21,33,56,3000
102,50,70,700
96,41,51,2100
94,6,73,400
